listing_id,Property_Title,Price_Raw,Location_Info,Sector,Room_Number,Area_m2,Link,Scraped_At,Page
ofera-noua-bulevardul-metalurgiei-drumul-jilavei-2-camere-IDFW58,Ofera noua ! Bulevardul Metalurgiei - Drumul Jilavei -2 Camere -,79 500 €,"Bulevardul Metalurgiei, Aparatorii Patriei, Sectorul 4, Bucuresti",4,2,52.6,https://www.storia.ro/ro/oferta/ofera-noua-bulevardul-metalurgiei-drumul-jilavei-2-camere-IDFW58,2025-12-27T16:42:10,16
sector-4-metrou-aparatorii-partriei-garsoniera-loc-parcare-IDFW56,Sector 4 - Metrou Aparatorii Partriei - Garsoniera + loc parcare -,55 660 €,Sector 4 - Metrou Aparatorii Partriei - Garsoniera + loc parcare -,4,3,31.4,https://www.storia.ro/ro/oferta/sector-4-metrou-aparatorii-partriei-garsoniera-loc-parcare-IDFW56,2025-12-27T16:42:13,16
sector-4-vitan-barzesti-apartament-2-camere-disponibil-imediat-IDFW55,Sector 4 - Vitan Barzesti - Apartament 2 Camere - Disponibil imediat,88 500 €,Sector 4 - Vitan Barzesti - Apartament 2 Camere - Disponibil imediat,4,2,46.2,https://www.storia.ro/ro/oferta/sector-4-vitan-barzesti-apartament-2-camere-disponibil-imediat-IDFW55,2025-12-27T16:42:13,16
avans-4125-euro-2-camere-postalionului-d-cucului-IDFW4U,Avans 4125 euro - 2 camere - Postalionului / D. Cucului,78 375 €,"Strada Postalionului, IMGB, Sectorul 4, Bucuresti",4,2,57.4,https://www.storia.ro/ro/oferta/avans-4125-euro-2-camere-postalionului-d-cucului-IDFW4U,2025-12-27T16:42:13,16
apartament-4-camere-de-vanzare-IDFW4L,Apartament 4 Camere de Vanzare,600 000 €,"Strada Justitiei, Centrul Civic, Sectorul 4, Bucuresti",4,4,93.0,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-IDFW4L,2025-12-27T16:42:13,16
lujerului-2-camere-centrala-bloc-2012-metrou-5-minute-IDFW4J,Lujerului | 2 Camere | Centrala | Bloc 2012 | Metrou 5 Minute,169 500 €,"Strada Gurahont, Militari, Sectorul 6, Bucuresti",6,2,65.0,https://www.storia.ro/ro/oferta/lujerului-2-camere-centrala-bloc-2012-metrou-5-minute-IDFW4J,2025-12-27T16:42:13,16
avans-4125-euro-2-camere-postalionului-d-cucului-IDFW4G,Avans 4125 euro - 2 camere - Postalionului / D. Cucului,78 375 €,"Strada Postalionului, IMGB, Sectorul 4, Bucuresti",4,2,57.7,https://www.storia.ro/ro/oferta/avans-4125-euro-2-camere-postalionului-d-cucului-IDFW4G,2025-12-27T16:42:13,16
de-vnzare-apt-2-cam-bucureti-sect-2-parcul-naional-IDFW4u,"De vânzare apt 2 cam București sect 2,Parcul Național",115 000 €,"Vatra Luminoasa, Sectorul 2, Bucuresti",2,2,52.29,https://www.storia.ro/ro/oferta/de-vnzare-apt-2-cam-bucureti-sect-2-parcul-naional-IDFW4u,2025-12-27T16:42:13,16
apartament-3-camere-piata-iancului-IDFW4w,Apartament 3 camere Piata Iancului,140 000 €,"Sectorul 2, Bucuresti",2,3,68.0,https://www.storia.ro/ro/oferta/apartament-3-camere-piata-iancului-IDFW4w,2025-12-27T16:42:13,16
avans-3450-euro-garsoniera-postalionului-d-cucului-IDFW4s,Avans 3450 euro - Garsoniera - Postalionului / D. Cucului,65 550 €,"Strada Postalionului, IMGB, Sectorul 4, Bucuresti",4,3,46.2,https://www.storia.ro/ro/oferta/avans-3450-euro-garsoniera-postalionului-d-cucului-IDFW4s,2025-12-27T16:42:17,16
